order,name,open,close,coordination,payment,tel,site
20,מבצר יחיעם,8:00,17:00,כן,כן,04-8276600,https://www.parks.org.il/reserve-park/%D7%92%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%9E%D7%91%D7%A6%D7%A8-%D7%99%D7%97%D7%99%D7%A2%D7%9D/
10,מוזיאון לוחמי הגיטאות,9:00,16:00,כן,כן,04-9958015,https://www.gfh.org.il/
30,עכו-אולמות האבירים,9:00,18:00,כן,https://www.akko.org.il/attraction/the-knights-halls/#iframe-payment-box,04-9956706,https://www.bgalil.co.il/the-knights-halls
40,עכו-מנהרת הטמפלרים,9:00,18:00,כן,https://www.akko.org.il/attraction/the-templars-tunnel/#iframe-payment-box,04-9956706,
50,עכו-החמאם הטורקי,9:00,18:00,כן,https://www.akko.org.il/attraction/the-turkish-bath-house/#iframe-payment-box,04-9956706,https://www.oldakko.co.il/category/%D7%97%D7%9E%D7%90%D7%9D-%D7%90%D7%9C-%D7%91%D7%90%D7%A9%D7%94
60,עכו-בית כנסת הרמחל,9:00,17:00,כן,כן,077-7299916,https://www.ozrothagalil.org.il/poi/%D7%91%D7%99%D7%AA-%D7%9B%D7%A0%D7%A1%D7%AA-%D7%94%D7%A8%D7%9E%D7%97%D7%9C/
